"COU","Country","VAR","Variable - Red List","YEA","Year","Value","Flag Codes","Flags"
"DNK","Denmark","UPPER","Upper Bound","2014","2014",0.978,,
"DNK","Denmark","UPPER","Upper Bound","2015","2015",0.978,,
"DNK","Denmark","UPPER","Upper Bound","2016","2016",0.978,,
"DNK","Denmark","UPPER","Upper Bound","2017","2017",0.979,,
"DNK","Denmark","UPPER","Upper Bound","2018","2018",0.979,,
"DNK","Denmark","UPPER","Upper Bound","2019","2019",0.98,,
"DNK","Denmark","UPPER","Upper Bound","2020","2020",0.98,,
"DNK","Denmark","UPPER","Upper Bound","2021","2021",0.981,,
"NLD","Netherlands","INDEX","Red List Index","2001","2001",0.966,,
"NLD","Netherlands","INDEX","Red List Index","2002","2002",0.965,,
"NLD","Netherlands","INDEX","Red List Index","2003","2003",0.963,,
"NLD","Netherlands","INDEX","Red List Index","2004","2004",0.962,,
"NLD","Netherlands","INDEX","Red List Index","2005","2005",0.96,,
"NLD","Netherlands","INDEX","Red List Index","2006","2006",0.959,,
"NLD","Netherlands","INDEX","Red List Index","2007","2007",0.957,,
"NLD","Netherlands","INDEX","Red List Index","2008","2008",0.956,,
"NLD","Netherlands","INDEX","Red List Index","2009","2009",0.955,,
"NLD","Netherlands","INDEX","Red List Index","2010","2010",0.953,,
"NLD","Netherlands","INDEX","Red List Index","2011","2011",0.952,,
"NLD","Netherlands","INDEX","Red List Index","2012","2012",0.951,,
"NLD","Netherlands","INDEX","Red List Index","2013","2013",0.949,,
"NLD","Netherlands","INDEX","Red List Index","2014","2014",0.948,,
"NLD","Netherlands","INDEX","Red List Index","2015","2015",0.947,,
"NLD","Netherlands","INDEX","Red List Index","2016","2016",0.944,,
"NLD","Netherlands","INDEX","Red List Index","2017","2017",0.943,,
"NLD","Netherlands","INDEX","Red List Index","2018","2018",0.942,,
"NLD","Netherlands","INDEX","Red List Index","2019","2019",0.94,,
"NLD","Netherlands","INDEX","Red List Index","2020","2020",0.939,,
"NLD","Netherlands","INDEX","Red List Index","2021","2021",0.938,,
"GRC","Greece","UPPER","Upper Bound","2001","2001",0.842,,
"GRC","Greece","UPPER","Upper Bound","2002","2002",0.842,,
"GRC","Greece","UPPER","Upper Bound","2003","2003",0.843,,
"GRC","Greece","UPPER","Upper Bound","2004","2004",0.843,,
"GRC","Greece","UPPER","Upper Bound","2005","2005",0.843,,
"GRC","Greece","UPPER","Upper Bound","2006","2006",0.843,,
"GRC","Greece","UPPER","Upper Bound","2007","2007",0.843,,
"GRC","Greece","UPPER","Upper Bound","2008","2008",0.843,,
"GRC","Greece","UPPER","Upper Bound","2009","2009",0.844,,
"GRC","Greece","UPPER","Upper Bound","2010","2010",0.845,,
"GRC","Greece","UPPER","Upper Bound","2011","2011",0.846,,
"GRC","Greece","UPPER","Upper Bound","2012","2012",0.847,,
"GRC","Greece","UPPER","Upper Bound","2013","2013",0.847,,
"GRC","Greece","UPPER","Upper Bound","2014","2014",0.848,,
"GRC","Greece","UPPER","Upper Bound","2015","2015",0.848,,
"GRC","Greece","UPPER","Upper Bound","2016","2016",0.849,,
"GRC","Greece","UPPER","Upper Bound","2017","2017",0.851,,
"GRC","Greece","UPPER","Upper Bound","2018","2018",0.851,,
"GRC","Greece","UPPER","Upper Bound","2019","2019",0.85,,
"GRC","Greece","UPPER","Upper Bound","2020","2020",0.851,,
"GRC","Greece","UPPER","Upper Bound","2021","2021",0.853,,
"SVK","Slovak Republic","UPPER","Upper Bound","2001","2001",0.952,,
"SVK","Slovak Republic","UPPER","Upper Bound","2002","2002",0.952,,
"SVK","Slovak Republic","UPPER","Upper Bound","2003","2003",0.952,,
"SVK","Slovak Republic","UPPER","Upper Bound","2004","2004",0.952,,
"SVK","Slovak Republic","UPPER","Upper Bound","2005","2005",0.952,,
"SVK","Slovak Republic","UPPER","Upper Bound","2006","2006",0.952,,
"SVK","Slovak Republic","UPPER","Upper Bound","2007","2007",0.952,,
"SVK","Slovak Republic","UPPER","Upper Bound","2008","2008",0.952,,
"SVK","Slovak Republic","UPPER","Upper Bound","2009","2009",0.952,,
"SVK","Slovak Republic","UPPER","Upper Bound","2010","2010",0.952,,
"SVK","Slovak Republic","UPPER","Upper Bound","2011","2011",0.952,,
"SVK","Slovak Republic","UPPER","Upper Bound","2012","2012",0.952,,
"SVK","Slovak Republic","UPPER","Upper Bound","2013","2013",0.953,,
"SVK","Slovak Republic","UPPER","Upper Bound","2014","2014",0.953,,
"SVK","Slovak Republic","UPPER","Upper Bound","2015","2015",0.953,,
"SVK","Slovak Republic","UPPER","Upper Bound","2016","2016",0.953,,
"SVK","Slovak Republic","UPPER","Upper Bound","2017","2017",0.954,,
"SVK","Slovak Republic","UPPER","Upper Bound","2018","2018",0.954,,
"SVK","Slovak Republic","UPPER","Upper Bound","2019","2019",0.954,,
"SVK","Slovak Republic","UPPER","Upper Bound","2020","2020",0.954,,
"SVK","Slovak Republic","UPPER","Upper Bound","2021","2021",0.954,,
"HUN","Hungary","LOWER","Lower Bound","2001","2001",0.861,,
"HUN","Hungary","LOWER","Lower Bound","2002","2002",0.861,,
"HUN","Hungary","LOWER","Lower Bound","2003","2003",0.86,,
"HUN","Hungary","LOWER","Lower Bound","2004","2004",0.861,,
"HUN","Hungary","LOWER","Lower Bound","2005","2005",0.861,,
"HUN","Hungary","LOWER","Lower Bound","2006","2006",0.861,,
"HUN","Hungary","LOWER","Lower Bound","2007","2007",0.861,,
"HUN","Hungary","LOWER","Lower Bound","2008","2008",0.86,,
"HUN","Hungary","LOWER","Lower Bound","2009","2009",0.86,,
"HUN","Hungary","LOWER","Lower Bound","2010","2010",0.86,,
"HUN","Hungary","LOWER","Lower Bound","2011","2011",0.86,,
"HUN","Hungary","LOWER","Lower Bound","2012","2012",0.86,,
"HUN","Hungary","LOWER","Lower Bound","2013","2013",0.859,,
"HUN","Hungary","LOWER","Lower Bound","2014","2014",0.859,,
"HUN","Hungary","LOWER","Lower Bound","2015","2015",0.859,,
"HUN","Hungary","LOWER","Lower Bound","2016","2016",0.859,,
"HUN","Hungary","LOWER","Lower Bound","2017","2017",0.858,,
"HUN","Hungary","LOWER","Lower Bound","2018","2018",0.858,,
"HUN","Hungary","LOWER","Lower Bound","2019","2019",0.858,,
"HUN","Hungary","LOWER","Lower Bound","2020","2020",0.858,,
"HUN","Hungary","LOWER","Lower Bound","2021","2021",0.858,,
"ITA","Italy","INDEX","Red List Index","2001","2001",0.904,,
"ITA","Italy","INDEX","Red List Index","2002","2002",0.903,,
"ITA","Italy","INDEX","Red List Index","2003","2003",0.903,,
"ITA","Italy","INDEX","Red List Index","2004","2004",0.903,,
"ITA","Italy","INDEX","Red List Index","2005","2005",0.902,,
"ITA","Italy","INDEX","Red List Index","2006","2006",0.902,,
"ITA","Italy","INDEX","Red List Index","2007","2007",0.902,,
"ITA","Italy","INDEX","Red List Index","2008","2008",0.902,,
"ITA","Italy","INDEX","Red List Index","2009","2009",0.901,,
"ITA","Italy","INDEX","Red List Index","2010","2010",0.901,,
"ITA","Italy","INDEX","Red List Index","2011","2011",0.901,,
"ITA","Italy","INDEX","Red List Index","2012","2012",0.9,,
"ITA","Italy","INDEX","Red List Index","2013","2013",0.9,,
"ITA","Italy","INDEX","Red List Index","2014","2014",0.899,,
"ITA","Italy","INDEX","Red List Index","2015","2015",0.899,,
"ITA","Italy","INDEX","Red List Index","2016","2016",0.898,,
"ITA","Italy","INDEX","Red List Index","2017","2017",0.897,,
"ITA","Italy","INDEX","Red List Index","2018","2018",0.896,,
"ITA","Italy","INDEX","Red List Index","2019","2019",0.896,,
"ITA","Italy","INDEX","Red List Index","2020","2020",0.895,,
"ITA","Italy","INDEX","Red List Index","2021","2021",0.894,,
"POL","Poland","UPPER","Upper Bound","2001","2001",0.954,,
"POL","Poland","UPPER","Upper Bound","2002","2002",0.955,,
"POL","Poland","UPPER","Upper Bound","2003","2003",0.956,,
"POL","Poland","UPPER","Upper Bound","2004","2004",0.957,,
"POL","Poland","UPPER","Upper Bound","2005","2005",0.958,,
"POL","Poland","UPPER","Upper Bound","2006","2006",0.959,,
"POL","Poland","UPPER","Upper Bound","2007","2007",0.96,,
"POL","Poland","UPPER","Upper Bound","2008","2008",0.962,,
"POL","Poland","UPPER","Upper Bound","2009","2009",0.964,,
"POL","Poland","UPPER","Upper Bound","2010","2010",0.965,,
"POL","Poland","UPPER","Upper Bound","2011","2011",0.967,,
"POL","Poland","UPPER","Upper Bound","2012","2012",0.969,,
"POL","Poland","UPPER","Upper Bound","2013","2013",0.971,,
"POL","Poland","UPPER","Upper Bound","2014","2014",0.973,,
"POL","Poland","UPPER","Upper Bound","2015","2015",0.976,,
"POL","Poland","UPPER","Upper Bound","2016","2016",0.977,,
"POL","Poland","UPPER","Upper Bound","2017","2017",0.979,,
"POL","Poland","UPPER","Upper Bound","2018","2018",0.981,,
"POL","Poland","UPPER","Upper Bound","2019","2019",0.984,,
"POL","Poland","UPPER","Upper Bound","2020","2020",0.985,,
"POL","Poland","UPPER","Upper Bound","2021","2021",0.989,,
"CZE","Czechia","UPPER","Upper Bound","2001","2001",0.969,,
"CZE","Czechia","UPPER","Upper Bound","2002","2002",0.969,,
"CZE","Czechia","UPPER","Upper Bound","2003","2003",0.969,,
"CZE","Czechia","UPPER","Upper Bound","2004","2004",0.969,,
"CZE","Czechia","UPPER","Upper Bound","2005","2005",0.969,,
"CZE","Czechia","UPPER","Upper Bound","2006","2006",0.969,,
"CZE","Czechia","UPPER","Upper Bound","2007","2007",0.97,,
"CZE","Czechia","UPPER","Upper Bound","2008","2008",0.97,,
"CZE","Czechia","UPPER","Upper Bound","2009","2009",0.97,,
"CZE","Czechia","UPPER","Upper Bound","2010","2010",0.97,,
"CZE","Czechia","UPPER","Upper Bound","2011","2011",0.97,,
"CZE","Czechia","UPPER","Upper Bound","2012","2012",0.97,,
"CZE","Czechia","UPPER","Upper Bound","2013","2013",0.971,,
"CZE","Czechia","UPPER","Upper Bound","2014","2014",0.971,,
"CZE","Czechia","UPPER","Upper Bound","2015","2015",0.971,,
"CZE","Czechia","UPPER","Upper Bound","2016","2016",0.971,,
"CZE","Czechia","UPPER","Upper Bound","2017","2017",0.971,,
"CZE","Czechia","UPPER","Upper Bound","2018","2018",0.972,,
"CZE","Czechia","UPPER","Upper Bound","2019","2019",0.972,,
"CZE","Czechia","UPPER","Upper Bound","2020","2020",0.972,,
"CZE","Czechia","UPPER","Upper Bound","2021","2021",0.972,,
"SVN","Slovenia","INDEX","Red List Index","2001","2001",0.931,,
"SVN","Slovenia","INDEX","Red List Index","2002","2002",0.931,,
"SVN","Slovenia","INDEX","Red List Index","2003","2003",0.931,,
"SVN","Slovenia","INDEX","Red List Index","2004","2004",0.93,,
"SVN","Slovenia","INDEX","Red List Index","2005","2005",0.93,,
"SVN","Slovenia","INDEX","Red List Index","2006","2006",0.93,,
"SVN","Slovenia","INDEX","Red List Index","2007","2007",0.93,,
"SVN","Slovenia","INDEX","Red List Index","2008","2008",0.93,,
"SVN","Slovenia","INDEX","Red List Index","2009","2009",0.93,,
"SVN","Slovenia","INDEX","Red List Index","2010","2010",0.93,,
"SVN","Slovenia","INDEX","Red List Index","2011","2011",0.929,,
"SVN","Slovenia","INDEX","Red List Index","2012","2012",0.929,,
"SVN","Slovenia","INDEX","Red List Index","2013","2013",0.929,,
"SVN","Slovenia","INDEX","Red List Index","2014","2014",0.929,,
"SVN","Slovenia","INDEX","Red List Index","2015","2015",0.929,,
"SVN","Slovenia","INDEX","Red List Index","2016","2016",0.929,,
"SVN","Slovenia","INDEX","Red List Index","2017","2017",0.929,,
"SVN","Slovenia","INDEX","Red List Index","2018","2018",0.928,,
"SVN","Slovenia","INDEX","Red List Index","2019","2019",0.928,,
"SVN","Slovenia","INDEX","Red List Index","2020","2020",0.928,,
"SVN","Slovenia","INDEX","Red List Index","2021","2021",0.928,,
"SWE","Sweden","INDEX","Red List Index","2001","2001",0.993,,
"SWE","Sweden","INDEX","Red List Index","2002","2002",0.993,,
"SWE","Sweden","INDEX","Red List Index","2003","2003",0.993,,
"SWE","Sweden","INDEX","Red List Index","2004","2004",0.993,,
"SWE","Sweden","INDEX","Red List Index","2005","2005",0.993,,
"SWE","Sweden","INDEX","Red List Index","2006","2006",0.993,,
"SWE","Sweden","INDEX","Red List Index","2007","2007",0.993,,
"SWE","Sweden","INDEX","Red List Index","2008","2008",0.993,,
"SWE","Sweden","INDEX","Red List Index","2009","2009",0.993,,
"SWE","Sweden","INDEX","Red List Index","2010","2010",0.993,,
"SWE","Sweden","INDEX","Red List Index","2011","2011",0.993,,
"SWE","Sweden","INDEX","Red List Index","2012","2012",0.993,,
"SWE","Sweden","INDEX","Red List Index","2013","2013",0.993,,
"SWE","Sweden","INDEX","Red List Index","2014","2014",0.992,,
"SWE","Sweden","INDEX","Red List Index","2015","2015",0.992,,
"SWE","Sweden","INDEX","Red List Index","2016","2016",0.992,,
"SWE","Sweden","INDEX","Red List Index","2017","2017",0.992,,
"SWE","Sweden","INDEX","Red List Index","2018","2018",0.992,,
"SWE","Sweden","INDEX","Red List Index","2019","2019",0.992,,
"SWE","Sweden","INDEX","Red List Index","2020","2020",0.992,,
"SWE","Sweden","INDEX","Red List Index","2021","2021",0.992,,
"DNK","Denmark","LOWER","Lower Bound","2001","2001",0.972,,
"DNK","Denmark","LOWER","Lower Bound","2002","2002",0.972,,
"DNK","Denmark","LOWER","Lower Bound","2003","2003",0.971,,
"DNK","Denmark","LOWER","Lower Bound","2004","2004",0.971,,
"DNK","Denmark","LOWER","Lower Bound","2005","2005",0.971,,
"DNK","Denmark","LOWER","Lower Bound","2006","2006",0.97,,
"DNK","Denmark","LOWER","Lower Bound","2007","2007",0.97,,
"DNK","Denmark","LOWER","Lower Bound","2008","2008",0.969,,
"DNK","Denmark","LOWER","Lower Bound","2009","2009",0.97,,
"DNK","Denmark","LOWER","Lower Bound","2010","2010",0.969,,
"DNK","Denmark","LOWER","Lower Bound","2011","2011",0.968,,
"DNK","Denmark","LOWER","Lower Bound","2012","2012",0.968,,
"DNK","Denmark","LOWER","Lower Bound","2013","2013",0.968,,
"DNK","Denmark","LOWER","Lower Bound","2014","2014",0.967,,
"DNK","Denmark","LOWER","Lower Bound","2015","2015",0.966,,
"DNK","Denmark","LOWER","Lower Bound","2016","2016",0.966,,
"DNK","Denmark","LOWER","Lower Bound","2017","2017",0.965,,
"DNK","Denmark","LOWER","Lower Bound","2018","2018",0.964,,
"DNK","Denmark","LOWER","Lower Bound","2019","2019",0.964,,
"DNK","Denmark","LOWER","Lower Bound","2020","2020",0.964,,
"DNK","Denmark","LOWER","Lower Bound","2021","2021",0.963,,
"DEU","Germany","INDEX","Red List Index","2001","2001",0.982,,
"DEU","Germany","INDEX","Red List Index","2002","2002",0.982,,
"DEU","Germany","INDEX","Red List Index","2003","2003",0.982,,
"DEU","Germany","INDEX","Red List Index","2004","2004",0.981,,
"DEU","Germany","INDEX","Red List Index","2005","2005",0.982,,
"DEU","Germany","INDEX","Red List Index","2006","2006",0.982,,
"DEU","Germany","INDEX","Red List Index","2007","2007",0.982,,
"DEU","Germany","INDEX","Red List Index","2008","2008",0.982,,
"DEU","Germany","INDEX","Red List Index","2009","2009",0.982,,
"DEU","Germany","INDEX","Red List Index","2010","2010",0.982,,
"DEU","Germany","INDEX","Red List Index","2011","2011",0.982,,
"DEU","Germany","INDEX","Red List Index","2012","2012",0.982,,
"DEU","Germany","INDEX","Red List Index","2013","2013",0.982,,
"DEU","Germany","INDEX","Red List Index","2014","2014",0.982,,
"DEU","Germany","INDEX","Red List Index","2015","2015",0.982,,
"DEU","Germany","INDEX","Red List Index","2016","2016",0.982,,
"DEU","Germany","INDEX","Red List Index","2017","2017",0.982,,
"DEU","Germany","INDEX","Red List Index","2018","2018",0.982,,
"DEU","Germany","INDEX","Red List Index","2019","2019",0.982,,
"DEU","Germany","INDEX","Red List Index","2020","2020",0.982,,
"DEU","Germany","INDEX","Red List Index","2021","2021",0.982,,
"BEL","Belgium","UPPER","Upper Bound","2001","2001",0.982,,
"BEL","Belgium","UPPER","Upper Bound","2002","2002",0.982,,
"BEL","Belgium","UPPER","Upper Bound","2003","2003",0.982,,
"BEL","Belgium","UPPER","Upper Bound","2004","2004",0.982,,
"BEL","Belgium","UPPER","Upper Bound","2005","2005",0.982,,
"BEL","Belgium","UPPER","Upper Bound","2006","2006",0.982,,
"BEL","Belgium","UPPER","Upper Bound","2007","2007",0.983,,
"BEL","Belgium","UPPER","Upper Bound","2008","2008",0.983,,
"BEL","Belgium","UPPER","Upper Bound","2009","2009",0.983,,
"BEL","Belgium","UPPER","Upper Bound","2010","2010",0.983,,
"BEL","Belgium","UPPER","Upper Bound","2011","2011",0.983,,
"BEL","Belgium","UPPER","Upper Bound","2012","2012",0.984,,
"BEL","Belgium","UPPER","Upper Bound","2013","2013",0.984,,
"BEL","Belgium","UPPER","Upper Bound","2014","2014",0.984,,
"BEL","Belgium","UPPER","Upper Bound","2015","2015",0.984,,
"BEL","Belgium","UPPER","Upper Bound","2016","2016",0.985,,
"BEL","Belgium","UPPER","Upper Bound","2017","2017",0.985,,
"BEL","Belgium","UPPER","Upper Bound","2018","2018",0.985,,
"BEL","Belgium","UPPER","Upper Bound","2019","2019",0.985,,
"BEL","Belgium","UPPER","Upper Bound","2020","2020",0.986,,
"BEL","Belgium","UPPER","Upper Bound","2021","2021",0.986,,
"FIN","Finland","INDEX","Red List Index","2001","2001",0.991,,
"FIN","Finland","INDEX","Red List Index","2002","2002",0.991,,
"FIN","Finland","INDEX","Red List Index","2003","2003",0.991,,
"FIN","Finland","INDEX","Red List Index","2004","2004",0.991,,
"FIN","Finland","INDEX","Red List Index","2005","2005",0.991,,
"FIN","Finland","INDEX","Red List Index","2006","2006",0.991,,
"FIN","Finland","INDEX","Red List Index","2007","2007",0.991,,
"FIN","Finland","INDEX","Red List Index","2008","2008",0.991,,
"FIN","Finland","INDEX","Red List Index","2009","2009",0.99,,
"FIN","Finland","INDEX","Red List Index","2010","2010",0.99,,
"FIN","Finland","INDEX","Red List Index","2011","2011",0.99,,
"FIN","Finland","INDEX","Red List Index","2012","2012",0.99,,
"FIN","Finland","INDEX","Red List Index","2013","2013",0.99,,
"FIN","Finland","INDEX","Red List Index","2014","2014",0.99,,
"FIN","Finland","INDEX","Red List Index","2015","2015",0.99,,
"FIN","Finland","INDEX","Red List Index","2016","2016",0.99,,
"FIN","Finland","INDEX","Red List Index","2017","2017",0.99,,
"FIN","Finland","INDEX","Red List Index","2018","2018",0.99,,
"FIN","Finland","INDEX","Red List Index","2019","2019",0.99,,
"FIN","Finland","INDEX","Red List Index","2020","2020",0.99,,
"FIN","Finland","INDEX","Red List Index","2021","2021",0.99,,
"IRL","Ireland","LOWER","Lower Bound","2001","2001",0.905,,
"IRL","Ireland","LOWER","Lower Bound","2002","2002",0.905,,
"IRL","Ireland","LOWER","Lower Bound","2003","2003",0.904,,
"IRL","Ireland","LOWER","Lower Bound","2004","2004",0.903,,
"IRL","Ireland","LOWER","Lower Bound","2005","2005",0.902,,
"IRL","Ireland","LOWER","Lower Bound","2006","2006",0.9,,
"IRL","Ireland","LOWER","Lower Bound","2007","2007",0.901,,
"IRL","Ireland","LOWER","Lower Bound","2008","2008",0.899,,
"IRL","Ireland","LOWER","Lower Bound","2009","2009",0.897,,
"IRL","Ireland","LOWER","Lower Bound","2010","2010",0.894,,
"IRL","Ireland","LOWER","Lower Bound","2011","2011",0.894,,
"IRL","Ireland","LOWER","Lower Bound","2012","2012",0.893,,
"IRL","Ireland","LOWER","Lower Bound","2013","2013",0.892,,
"IRL","Ireland","LOWER","Lower Bound","2014","2014",0.888,,
"IRL","Ireland","LOWER","Lower Bound","2015","2015",0.887,,
"IRL","Ireland","LOWER","Lower Bound","2016","2016",0.884,,
"IRL","Ireland","LOWER","Lower Bound","2017","2017",0.882,,
"IRL","Ireland","LOWER","Lower Bound","2018","2018",0.882,,
"IRL","Ireland","LOWER","Lower Bound","2019","2019",0.88,,
"IRL","Ireland","LOWER","Lower Bound","2020","2020",0.879,,
"IRL","Ireland","LOWER","Lower Bound","2021","2021",0.877,,
"LUX","Luxembourg","UPPER","Upper Bound","2001","2001",0.984,,
"LUX","Luxembourg","UPPER","Upper Bound","2002","2002",0.984,,
"LUX","Luxembourg","UPPER","Upper Bound","2003","2003",0.984,,
"LUX","Luxembourg","UPPER","Upper Bound","2004","2004",0.984,,
"LUX","Luxembourg","UPPER","Upper Bound","2005","2005",0.984,,
"LUX","Luxembourg","UPPER","Upper Bound","2006","2006",0.984,,
"LUX","Luxembourg","UPPER","Upper Bound","2007","2007",0.984,,
"LUX","Luxembourg","UPPER","Upper Bound","2008","2008",0.984,,
"LUX","Luxembourg","UPPER","Upper Bound","2009","2009",0.984,,
"LUX","Luxembourg","UPPER","Upper Bound","2010","2010",0.984,,
"LUX","Luxembourg","UPPER","Upper Bound","2011","2011",0.984,,
"LUX","Luxembourg","UPPER","Upper Bound","2012","2012",0.985,,
"LUX","Luxembourg","UPPER","Upper Bound","2013","2013",0.985,,
"LUX","Luxembourg","UPPER","Upper Bound","2014","2014",0.985,,
"LUX","Luxembourg","UPPER","Upper Bound","2015","2015",0.985,,
"LUX","Luxembourg","UPPER","Upper Bound","2016","2016",0.985,,
"LUX","Luxembourg","UPPER","Upper Bound","2017","2017",0.986,,
"LUX","Luxembourg","UPPER","Upper Bound","2018","2018",0.986,,
"LUX","Luxembourg","UPPER","Upper Bound","2019","2019",0.986,,
"LUX","Luxembourg","UPPER","Upper Bound","2020","2020",0.986,,
"LUX","Luxembourg","UPPER","Upper Bound","2021","2021",0.986,,
"NOR","Norway","INDEX","Red List Index","2001","2001",0.956,,
"NOR","Norway","INDEX","Red List Index","2002","2002",0.956,,
"NOR","Norway","INDEX","Red List Index","2003","2003",0.955,,
"NOR","Norway","INDEX","Red List Index","2004","2004",0.955,,
"NOR","Norway","INDEX","Red List Index","2005","2005",0.955,,
"NOR","Norway","INDEX","Red List Index","2006","2006",0.955,,
"NOR","Norway","INDEX","Red List Index","2007","2007",0.954,,
"NOR","Norway","INDEX","Red List Index","2008","2008",0.954,,
"NOR","Norway","INDEX","Red List Index","2009","2009",0.954,,
"NOR","Norway","INDEX","Red List Index","2010","2010",0.954,,
"NOR","Norway","INDEX","Red List Index","2011","2011",0.954,,
"NOR","Norway","INDEX","Red List Index","2012","2012",0.953,,
"NOR","Norway","INDEX","Red List Index","2013","2013",0.951,,
"NOR","Norway","INDEX","Red List Index","2014","2014",0.95,,
"NOR","Norway","INDEX","Red List Index","2015","2015",0.949,,
"NOR","Norway","INDEX","Red List Index","2016","2016",0.948,,
"NOR","Norway","INDEX","Red List Index","2017","2017",0.948,,
"NOR","Norway","INDEX","Red List Index","2018","2018",0.948,,
"NOR","Norway","INDEX","Red List Index","2019","2019",0.948,,
"NOR","Norway","INDEX","Red List Index","2020","2020",0.947,,
"NOR","Norway","INDEX","Red List Index","2021","2021",0.947,,
"LTU","Lithuania","LOWER","Lower Bound","2001","2001",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2002","2002",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2003","2003",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2004","2004",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2005","2005",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2006","2006",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2007","2007",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2008","2008",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2009","2009",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2010","2010",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2011","2011",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2012","2012",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2013","2013",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2014","2014",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2015","2015",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2016","2016",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2017","2017",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2018","2018",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2019","2019",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2020","2020",0.989,,
"LTU","Lithuania","LOWER","Lower Bound","2021","2021",0.989,,
"AUT","Austria","INDEX","Red List Index","2001","2001",0.894,,
"AUT","Austria","INDEX","Red List Index","2002","2002",0.894,,
"AUT","Austria","INDEX","Red List Index","2003","2003",0.894,,
"AUT","Austria","INDEX","Red List Index","2004","2004",0.894,,
"AUT","Austria","INDEX","Red List Index","2005","2005",0.894,,
"AUT","Austria","INDEX","Red List Index","2006","2006",0.895,,
"AUT","Austria","INDEX","Red List Index","2007","2007",0.895,,
"AUT","Austria","INDEX","Red List Index","2008","2008",0.895,,
"AUT","Austria","INDEX","Red List Index","2009","2009",0.895,,
"AUT","Austria","INDEX","Red List Index","2010","2010",0.895,,
"AUT","Austria","INDEX","Red List Index","2011","2011",0.895,,
"AUT","Austria","INDEX","Red List Index","2012","2012",0.895,,
"AUT","Austria","INDEX","Red List Index","2013","2013",0.895,,
"AUT","Austria","INDEX","Red List Index","2014","2014",0.895,,
"AUT","Austria","INDEX","Red List Index","2015","2015",0.895,,
"AUT","Austria","INDEX","Red List Index","2016","2016",0.895,,
"AUT","Austria","INDEX","Red List Index","2017","2017",0.895,,
"AUT","Austria","INDEX","Red List Index","2018","2018",0.895,,
"AUT","Austria","INDEX","Red List Index","2019","2019",0.895,,
"AUT","Austria","INDEX","Red List Index","2020","2020",0.895,,
"AUT","Austria","INDEX","Red List Index","2021","2021",0.895,,
"TUR","Türkiye","INDEX","Red List Index","2001","2001",0.888,,
"TUR","Türkiye","INDEX","Red List Index","2002","2002",0.887,,
"TUR","Türkiye","INDEX","Red List Index","2003","2003",0.887,,
"TUR","Türkiye","INDEX","Red List Index","2004","2004",0.887,,
"TUR","Türkiye","INDEX","Red List Index","2005","2005",0.886,,
"TUR","Türkiye","INDEX","Red List Index","2006","2006",0.886,,
"TUR","Türkiye","INDEX","Red List Index","2007","2007",0.886,,
"TUR","Türkiye","INDEX","Red List Index","2008","2008",0.885,,
"TUR","Türkiye","INDEX","Red List Index","2009","2009",0.885,,
"TUR","Türkiye","INDEX","Red List Index","2010","2010",0.885,,
"TUR","Türkiye","INDEX","Red List Index","2011","2011",0.884,,
"TUR","Türkiye","INDEX","Red List Index","2012","2012",0.884,,
"TUR","Türkiye","INDEX","Red List Index","2013","2013",0.884,,
"TUR","Türkiye","INDEX","Red List Index","2014","2014",0.883,,
"TUR","Türkiye","INDEX","Red List Index","2015","2015",0.883,,
"TUR","Türkiye","INDEX","Red List Index","2016","2016",0.883,,
"TUR","Türkiye","INDEX","Red List Index","2017","2017",0.882,,
"TUR","Türkiye","INDEX","Red List Index","2018","2018",0.882,,
"TUR","Türkiye","INDEX","Red List Index","2019","2019",0.882,,
"TUR","Türkiye","INDEX","Red List Index","2020","2020",0.881,,
"TUR","Türkiye","INDEX","Red List Index","2021","2021",0.881,,
"ESP","Spain","LOWER","Lower Bound","2001","2001",0.848,,
"ESP","Spain","LOWER","Lower Bound","2002","2002",0.848,,
"ESP","Spain","LOWER","Lower Bound","2003","2003",0.848,,
"ESP","Spain","LOWER","Lower Bound","2004","2004",0.848,,
"ESP","Spain","LOWER","Lower Bound","2005","2005",0.848,,
"ESP","Spain","LOWER","Lower Bound","2006","2006",0.848,,
"ESP","Spain","LOWER","Lower Bound","2007","2007",0.848,,
"ESP","Spain","LOWER","Lower Bound","2008","2008",0.848,,
